batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,248.11
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,246.135
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,244.173
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,242.224
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,240.288
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,238.366
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,236.457
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,234.563
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,232.681
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,230.813
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,228.957
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,227.116
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,225.287
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,223.472
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,221.671
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,219.882
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,218.106
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,216.343
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,214.593
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,212.855
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,211.131
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,209.417
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,207.716
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,206.027
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,204.349
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,202.684
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,201.029
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,199.386
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,197.754
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,196.133
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,194.522
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,192.921
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,191.33
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,189.75
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,188.179
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,186.619
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,185.068
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,183.527
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,181.996
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,180.474
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,178.961
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,177.457
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,175.963
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,174.478
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,173.002
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,171.535
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,170.077
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,168.629
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,167.189
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,165.759
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,164.337
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,162.924
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,161.52
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,160.126
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,158.74
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,157.364
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,155.996
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,154.638
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,153.289
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,151.949
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,150.618
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,149.296
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,147.982
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,146.678
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,145.382
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,144.096
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,142.818
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,141.549
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,140.289
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,139.038
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,137.796
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,136.563
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,135.339
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,134.123
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,132.915
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,131.716
