batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,48.318
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,47.6516
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,46.9821
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,46.2351
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,45.3929
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,44.4973
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,43.6426
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,42.9105
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,42.3549
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,41.9382
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,41.6044
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,41.3093
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,41.0437
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,40.7962
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,40.5621
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,40.3306
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,40.1172
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,39.9202
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,39.7338
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,39.5546
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,39.3763
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,39.1924
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,39.0078
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,38.8348
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,38.6596
