batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,54.4775
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,50.1563
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,46.1921
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,42.6155
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,39.454
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,36.7327
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,34.4598
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,32.6251
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,31.1939
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,30.112
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,29.3105
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,28.7146
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,28.2473
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,27.8423
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,27.449
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,27.0335
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,26.5795
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,26.0814
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,25.5431
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,24.9745
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,24.3873
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,23.7948
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,23.2085
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,22.6386
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,22.0934
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,21.5787
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,21.0975
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,20.6509
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,20.2383
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,19.8564
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,19.5016
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,19.1682
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,18.8514
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,18.5454
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,18.2461
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,17.9507
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,17.6576
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,17.366
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,17.0767
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,16.7906
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,16.5096
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,16.2352
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,15.9693
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,15.7126
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,15.4661
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,15.2296
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,15.0021
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,14.783
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,14.5708
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,14.364
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,14.1614
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,13.9622
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,13.7663
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,13.5733
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,13.3836
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,13.1976
