batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,38.7033
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,37.4082
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,36.23
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,35.0896
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,34.0049
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,32.992
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,32.0733
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,31.2444
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,30.4947
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,29.8022
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,29.1792
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,28.6388
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,28.179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,27.7946
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,27.4611
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,27.147
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,26.9024
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,26.6832
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,26.4497
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,26.2353
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,26.0217
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,25.8035
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,25.568
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,25.2785
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,24.9879
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,24.6126
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,24.3214
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,24.0733
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,23.8419
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,23.7144
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,23.5558
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,23.3497
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,23.0167
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,22.7151
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,22.6303
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,22.5856
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,22.2442
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,22.0806
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,21.9987
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,21.9501
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,21.7862
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,21.6198
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,21.693
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,21.5718
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,21.3577
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,21.244
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,21.2082
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,21.2573
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,21.3311
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,21.3523
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,21.0634
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,21.2063
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,20.8882
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,20.8345
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,20.8072
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,21.0321
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,20.6424
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,20.5378
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,20.5107
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,20.4861
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,20.3722
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,20.2942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,20.1723
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,20.0901
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,20.0056
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,19.8857
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,19.7624
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,19.6411
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,19.5356
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,19.3859
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,19.2659
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,19.1326
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,19.0427
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,18.9218
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,18.9157
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,18.739
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,18.7399
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,18.5265
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,18.3866
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,18.3149
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,18.2643
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,18.1789
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,18.0606
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,17.9068
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,17.9078
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,17.8205
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,17.5933
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,17.5228
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,17.2989
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,17.1495
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,17.0315
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,16.8544
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,16.6923
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,16.6125
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,16.6895
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,16.3177
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,16.1599
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,15.9882
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,15.8064
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,15.8631
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,16.0514
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,28.5037
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,15.6697
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,15.6044
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,15.445
