batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,88.7234
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,82.6047
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,76.7766
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,71.245
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,66.0137
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,61.0878
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,56.4761
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,52.1906
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,48.2448
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,44.6527
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,41.4282
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,38.5824
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,36.1187
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,34.03
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,32.2959
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,30.8825
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,29.7445
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,28.8299
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,28.0855
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,27.4622
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,26.9176
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,26.4166
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,25.933
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,25.4485
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,24.9521
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,24.4384
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,23.9077
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,23.3632
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,22.8092
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,22.2518
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,21.6969
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,21.15
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,20.6159
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,20.0982
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,19.6001
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,19.1236
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,18.6703
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,18.2412
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,17.8367
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,17.4566
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,17.1009
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,16.7685
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,16.4582
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,16.1681
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,15.8958
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,15.6386
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,15.3936
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,15.1579
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,14.9291
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,14.7049
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,14.4836
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,14.2643
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,14.0464
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,13.8302
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,13.6161
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,13.4052
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,13.1984
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,12.9969
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,12.8018
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,12.6139
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,12.4337
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,12.2612
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,12.0965
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,11.9389
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,11.7875
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,11.6417
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,11.5005
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,11.3629
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,11.2285
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,11.0966
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,10.9668
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,10.8391
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,10.7133
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,10.5895
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,10.4678
