batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,364.661
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,362.241
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,359.828
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,357.425
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,355.029
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,352.64
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,350.26
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,347.888
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,345.522
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,343.16
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,340.806
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,338.463
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,336.129
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,333.804
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,331.488
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,329.18
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,326.883
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,324.594
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,322.314
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,320.042
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,317.779
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,315.526
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,313.283
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,311.05
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,308.826
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,306.616
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,304.415
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,302.223
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,300.041
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,297.866
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,295.704
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,293.551
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,291.409
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,289.279
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,287.159
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,285.051
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,282.951
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,280.86
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,278.779
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,276.705
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,274.64
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,272.584
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,270.538
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,268.503
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,266.476
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,264.457
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,262.446
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,260.444
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,258.451
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,256.466
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,254.489
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,252.522
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,250.565
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,248.618
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,246.681
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,244.753
