batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,45.467
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,44.0195
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,42.3174
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,40.3641
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,38.2827
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,36.0778
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,33.7402
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,31.5584
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,29.6728
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,28.1546
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,26.9582
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,25.959
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,25.0784
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,24.3519
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,23.7562
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,23.2796
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,22.9219
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,22.6773
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,22.5306
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,22.4559
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,22.4284
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,22.4265
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,22.4283
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,22.4137
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,22.3681
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,22.281
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,22.1443
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,21.9531
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,21.7051
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,21.4003
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,21.0474
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,20.6637
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,20.2358
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,19.7921
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,19.3865
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,18.992
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,18.6416
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,18.2475
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,17.7155
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,17.0885
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,16.9131
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,16.7083
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,16.6226
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,16.2949
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,16.1139
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,16.1973
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,16.101
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,15.987
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,15.8844
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,16.2378
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,15.7405
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,15.7496
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,15.7697
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,15.6339
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,15.5066
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,15.4869
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,15.3456
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,15.2191
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,15.1844
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,15.0652
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,14.9732
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,14.9317
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,14.8134
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,14.7618
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,14.6866
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,14.5689
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,14.4788
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,14.362
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,14.2836
