batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,62.6222
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,56.0374
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,50.516
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,46.1208
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,42.7704
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,40.2997
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,38.5162
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,37.2462
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,36.3566
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,35.7271
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,35.2382
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,34.7728
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,34.2393
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,33.5876
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,32.8078
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,31.9207
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,30.9633
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,29.9792
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,29.0127
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,28.0996
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,27.2681
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,26.5356
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,25.9062
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,25.373
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,24.9179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,24.5144
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,24.1336
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,23.7471
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,23.3342
