batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,25.0066
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,24.0912
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,23.2252
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,22.2483
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,21.1942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,20.0045
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,18.7948
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,17.5202
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,16.2344
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,15.1537
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,14.1655
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,13.4297
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,13.0258
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,12.753
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,12.5198
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,12.3561
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,12.137
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,11.9643
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,11.7968
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,11.5892
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,11.3535
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,11.1233
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,10.878
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,10.6273
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,10.4235
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,10.2224
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,10.0226
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,9.81248
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,9.61574
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,9.44307
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,9.32942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,9.27799
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,9.2497
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,9.1352
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,9.03728
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,9.01872
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,8.9009
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,8.85501
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,8.79361
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,8.72184
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,8.66251
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,8.55266
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,8.50251
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,8.14171
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,7.97287
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,7.8742
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,7.57418
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,7.5229
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,7.35361
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,7.22404
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,7.06933
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,7.00497
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,6.92119
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,6.86753
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,6.79498
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,6.72413
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,6.65965
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,6.58701
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,6.54577
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,6.50091
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,6.46806
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,6.41516
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,6.37495
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,6.32798
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,6.29592
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,6.26232
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,6.23383
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,6.1942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,6.15887
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,6.12127
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,6.08903
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,6.05576
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,6.0265
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,5.99529
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,5.97124
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,5.93969
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,5.91461
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,5.89079
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,5.8662
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,5.84133
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,5.81475
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,5.78613
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,5.75857
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,5.73354
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,5.70983
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,5.68613
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,5.66448
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,5.62771
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,5.5947
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,5.56147
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,5.51366
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,5.45921
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,5.40428
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,5.34612
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,5.23221
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,5.17069
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,5.16253
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,5.13565
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,5.04645
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,4.98192
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,4.91711
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,14.3912
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,4.84698
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,4.82303
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,4.77029
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,104,4.74514
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,105,4.59862
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,106,4.64163
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,107,4.62135
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,108,4.65575
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,109,4.56102
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,110,4.89862
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,111,4.53029
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,112,4.74088
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,113,4.89584
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,114,4.87274
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,115,4.54817
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,116,4.5168
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,117,4.61638
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,118,4.46588
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,119,4.4195
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,120,4.47523
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,121,4.38554
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,122,4.3153
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,123,4.4182
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,124,4.33299
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,125,4.34088
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,126,4.3482
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,127,4.28964
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,128,4.22979
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,129,4.27427
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,130,4.29879
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,131,4.36091
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,132,4.26397
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,133,4.27951
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,134,4.31075
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,135,4.32186
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,136,4.27848
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,137,4.18685
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,138,4.14074
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,139,4.23127
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,140,4.17364
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,141,4.15108
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,142,4.09012
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,143,4.13634
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,144,4.06286
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,145,3.94617
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,146,3.95424
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,147,3.89109
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,148,3.89759
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,149,3.87702
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,150,4.13825
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,151,6.75833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,152,6.83675
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,153,8.53177
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,154,7.74924
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,155,8.71025
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,156,7.74267
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,157,7.77662
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,158,7.28293
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,159,7.69543
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,160,7.47629
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,161,7.43027
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,162,7.8167
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,163,7.16067
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,164,8.85512
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,165,10.9174
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,166,7.02746
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,167,7.23092
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,168,7.17015
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,169,7.05619
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,170,6.82819
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,171,6.72398
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,172,6.62934
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,173,6.58673
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,174,6.49489
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,175,6.46622
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,176,6.4255
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,177,6.39463
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,178,6.33093
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,179,6.2456
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,180,6.16191
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,181,6.03207
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,182,5.91282
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,183,5.81235
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,184,5.70304
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,185,5.57568
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,186,5.44042
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,187,5.3025
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,188,5.16272
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,189,5.04205
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,190,4.92055
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,191,4.8269
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,192,4.72571
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,193,4.6196
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,194,4.50183
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,195,4.39171
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,196,4.3263
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,197,4.33095
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,198,4.25683
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,199,4.16206
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,200,4.80555
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,15.3833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,201,4.18184
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,202,3.9295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,203,3.88906
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,204,3.96015
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,205,3.77856
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,206,3.80113
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,207,3.7806
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,208,3.68304
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,209,3.65089
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,210,3.65976
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,211,3.52696
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,212,3.47374
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,213,3.49185
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,214,3.40219
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,215,3.33499
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,216,3.31761
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,217,3.31239
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,218,3.23351
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,219,3.19864
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,220,3.17971
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,221,3.14404
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,222,3.12416
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,223,3.08269
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,224,3.05195
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,225,3.04851
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,226,3.02494
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,227,3.0172
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,228,3.02162
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,229,3.03418
