batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,29.0116
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,28.5564
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,28.1817
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,27.8639
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,27.5708
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,27.2593
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,26.9373
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,26.5783
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,26.1884
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,25.7948
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,25.3951
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,25.0301
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,24.664
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,24.2763
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,23.9184
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,23.5832
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,23.2752
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,23.0022
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,22.7312
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,22.4734
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,22.2189
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,21.9725
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,21.7337
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,21.4922
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,21.2459
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,20.995
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,20.7302
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,20.3529
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,20.0053
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,19.681
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,19.3638
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,19.0801
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,18.8256
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,18.5686
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,18.2508
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,18.0244
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,17.7517
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,17.5384
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,17.4289
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,17.2971
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,17.3232
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,17.0763
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,16.984
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,17.0285
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,16.7412
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,16.9001
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,16.5182
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,16.4746
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,16.1938
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,15.9522
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,15.7208
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,15.5595
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,15.295
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,15.1736
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,14.9641
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,14.6781
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,14.496
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,14.2765
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,14.1049
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,13.929
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,13.7811
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,13.6066
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,13.4632
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,13.2623
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,13.1
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,12.9229
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,12.7713
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,12.6145
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,12.4846
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,12.4131
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,12.2864
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,12.2045
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,12.1921
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,11.9846
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,12.0194
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,11.9537
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,11.7401
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,77,11.7822
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,78,11.7599
