batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,62.5277
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,58.0517
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,53.801
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,49.7679
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,45.9389
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,42.3057
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,38.8652
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,35.6156
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,32.5557
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,29.6852
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,27.0069
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,24.532
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,22.2828
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,20.2929
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,18.6011
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,17.2421
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,16.2331
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,15.561
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,15.1772
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,15.0035
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,14.9493
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,14.9312
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,14.887
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,14.7803
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,14.5962
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,14.3343
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,14.0031
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,13.6165
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,13.1914
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,12.7471
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,12.3033
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,11.8776
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,11.4846
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,11.1348
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,10.8335
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,10.5821
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,10.3773
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,10.2112
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,10.0732
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,9.9522
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,9.83845
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,9.72442
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,9.60522
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,9.47825
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,9.34297
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,9.2007
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,9.05422
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,8.90683
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,8.76203
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,8.62298
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,8.49211
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,8.3711
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,8.2606
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,8.15981
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,8.06674
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,7.97906
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,7.89422
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,7.81013
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,7.72533
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,7.63903
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,7.55138
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,7.46313
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,7.37527
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,7.28899
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,7.2052
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,7.12442
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,7.04693
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,6.97256
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,6.90087
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,6.83118
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,6.76273
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,6.6949
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,6.62721
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,6.55945
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,6.49154
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,6.42374
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,6.35639
