batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,426.238
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,423.865
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,421.499
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,419.141
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,416.791
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,414.45
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,412.118
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,409.795
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,407.481
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,405.176
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,402.88
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,400.593
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,398.316
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,396.048
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,393.79
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,391.541
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,389.302
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,387.071
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,384.849
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,382.636
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,380.433
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,378.238
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,376.052
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,373.876
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,371.708
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,369.547
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,367.396
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,365.254
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,363.12
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,360.995
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,358.878
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,356.769
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,354.67
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,352.578
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,350.494
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,348.419
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,346.351
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,344.291
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,342.239
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,340.195
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,338.159
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,336.131
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,334.111
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,332.1
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,330.096
