batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,47.0054
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,44.7597
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,43.2635
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,41.9187
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,40.7014
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,39.8389
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,39.2762
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,38.9663
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,38.8402
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,38.7795
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,38.7348
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,38.6887
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,38.6452
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,38.6
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,38.5531
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,38.5063
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,38.4595
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,38.4197
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,38.3861
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,38.3604
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,38.3402
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,38.3218
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,38.3041
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,38.2969
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,38.2953
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,38.295
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,38.294
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,38.2836
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,38.2698
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,38.2545
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,38.2392
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,38.2219
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,38.2053
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,38.1813
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,38.1604
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,38.1351
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,38.1022
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,38.0654
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,38.0292
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,37.9791
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,37.9192
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,37.8295
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,37.8961
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,37.9558
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,38.0087
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,37.9146
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,37.8233
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,37.791
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,37.8091
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,37.7995
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,37.7253
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,37.6073
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,37.5158
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,37.5501
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,37.2832
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,37.1338
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,37.0234
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,36.92
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,36.6755
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,36.7228
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,36.4812
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,37.0739
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,37.5549
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,36.834
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,37.8391
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,38.11
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,37.8673
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,37.5812
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,37.4673
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,37.3801
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,37.4098
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,37.2861
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,37.2258
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,37.1783
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,36.9492
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,36.8283
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,36.6948
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,77,36.5527
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,78,36.5424
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,79,36.4878
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,80,36.3298
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,81,36.2481
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,82,36.0139
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,83,35.8548
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,84,35.6616
