batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,266.245
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,264.171
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,262.108
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,260.054
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,258.011
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,255.979
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,253.956
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,251.942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,249.937
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,247.941
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,245.954
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,243.977
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,242.01
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,240.055
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,238.11
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,236.179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,234.258
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,232.349
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,230.452
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,228.567
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,226.694
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,224.833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,222.983
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,221.147
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,219.321
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,217.508
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,215.707
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,213.918
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,212.141
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,210.379
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,208.629
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,206.892
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,205.167
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,203.455
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,201.753
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,200.063
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,198.385
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,196.717
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,195.06
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,193.414
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,191.78
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,190.157
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,188.545
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,186.944
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,185.353
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,183.772
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,182.202
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,180.643
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,179.095
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,177.558
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,176.03
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,174.513
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,173.006
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,171.509
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,170.021
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,168.544
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,167.075
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,165.614
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,164.165
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,162.725
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,161.294
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,159.873
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,158.462
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,157.06
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,155.669
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,154.285
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,152.913
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,151.55
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,150.195
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,148.85
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,147.516
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,146.191
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,144.874
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,143.565
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,142.266
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,140.977
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,139.696
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,138.423
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,137.158
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,135.901
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,134.653
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,133.413
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,132.18
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,130.956
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,129.739
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,128.53
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,127.33
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,126.138
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,124.951
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,123.77
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,122.595
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,121.427
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,120.267
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,119.114
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,117.969
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,116.833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,115.703
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,114.579
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,113.46
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,112.348
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,111.244
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,139.019
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,110.146
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,109.054
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,107.971
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,104,106.896
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,105,105.828
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,106,104.767
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,107,103.714
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,108,102.669
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,109,101.632
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,110,100.601
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,111,99.5759
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,112,98.5567
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,113,97.5458
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,114,96.5424
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,115,95.5473
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,116,94.5587
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,117,93.5778
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,118,92.6024
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,119,91.6335
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,120,90.6727
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,121,89.7179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,122,88.7697
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,123,87.8291
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,124,86.8954
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,125,85.9672
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,126,85.0457
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,127,84.1304
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,128,83.2235
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,129,82.324
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,130,81.4322
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,131,80.5476
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,132,79.6709
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,133,78.802
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,134,77.9401
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,135,77.0865
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,136,76.241
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,137,75.403
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,138,74.5713
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,139,73.7469
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,140,72.9299
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,141,72.1192
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,142,71.3153
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,143,70.5176
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,144,69.7256
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,145,68.9413
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,146,68.1643
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,147,67.396
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,148,66.6358
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,149,65.8823
