batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,244.397
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,242.296
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,240.204
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,238.122
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,236.051
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,233.992
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,231.944
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,229.909
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,227.886
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,225.876
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,223.877
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,221.891
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,219.917
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,217.955
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,216.006
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,214.07
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,212.146
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,210.234
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,208.335
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,206.447
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,204.572
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,202.709
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,200.858
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,199.019
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,197.191
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,195.374
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,193.569
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,191.774
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,189.991
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,188.218
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,186.458
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,184.708
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,182.969
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,181.242
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,179.526
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,177.822
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,176.13
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,174.449
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,172.78
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,171.122
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,169.475
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,167.84
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,166.216
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,164.604
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,163.003
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,161.415
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,159.838
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,47,158.273
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,48,156.719
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,49,155.178
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,50,153.648
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,51,152.131
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,52,150.626
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,53,149.132
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,54,147.65
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,55,146.18
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,56,144.721
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,57,143.273
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,58,141.838
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,59,140.414
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,60,139.002
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,61,137.602
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,62,136.213
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,63,134.835
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,64,133.468
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,65,132.113
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,66,130.768
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,67,129.435
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,68,128.112
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,69,126.799
