batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,0,25.4468
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,1,24.6486
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,2,24.3465
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,3,24.1672
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,4,23.7471
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,5,23.2967
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,6,22.7701
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,7,22.4448
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,8,21.9639
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,9,21.2823
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,10,20.8326
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,11,20.0942
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,12,19.1684
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,13,18.329
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,14,17.6453
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,15,16.7788
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,16,15.9495
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,17,15.3044
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,18,14.8499
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,19,14.2298
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,20,13.8103
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,21,13.4293
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,22,12.9642
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,23,12.5935
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,24,12.2969
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,25,12.0537
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,26,11.8376
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,27,11.6374
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,28,11.455
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,29,11.2838
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,30,11.1316
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,31,11.0111
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,32,10.9139
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,33,10.8401
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,34,10.7758
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,35,10.7197
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,36,10.6413
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,37,10.5673
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,38,10.5246
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,39,10.4715
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,40,10.4413
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,41,10.4215
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,42,10.4074
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,43,10.3916
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,44,10.372
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,45,10.3484
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,46,10.3199
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,47,10.2879
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,48,10.2636
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,49,10.2297
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,50,10.2067
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,51,10.1813
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,52,10.1569
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,53,10.1335
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,54,10.1053
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,55,10.0762
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,56,10.0463
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,57,10.0178
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,58,9.98333
