batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,0,48.3453
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,1,47.536
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,2,46.7964
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,3,46.0722
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,4,45.3532
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,5,44.7837
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,6,44.1227
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,7,43.6313
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,8,43.0951
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,9,42.5674
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,10,42.0636
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,11,41.5409
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,12,41.3536
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,13,41.0519
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,14,40.5693
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,15,40.0666
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,16,39.6098
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,17,39.1816
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,18,38.7528
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,19,38.3093
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,20,37.8722
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,21,37.381
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,22,36.8923
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,23,36.3912
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,24,35.8878
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,25,35.392
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,26,34.8782
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,27,34.2681
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,28,33.6657
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,29,33.1433
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,30,32.3801
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,31,31.8042
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,32,31.2054
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,33,30.4659
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,34,30.7318
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,35,29.4837
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,36,28.6557
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,37,28.365
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,38,27.5263
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,39,27.4285
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,40,26.6317
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,41,26.4498
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,42,25.9754
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,43,25.7741
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,44,25.1203
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,45,24.8998
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,46,24.8907
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,47,24.2698
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,48,23.7128
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,49,23.6622
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,50,23.16
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,51,23.0116
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,52,22.6015
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,53,22.4114
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,54,22.1998
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,55,21.8831
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,56,21.6023
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,57,21.3568
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,58,21.2214
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,59,21.0156
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,60,20.7839
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,61,20.6333
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,62,20.5464
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,63,20.4443
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,64,20.0769
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,65,19.9792
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,66,19.8419
