batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,0,59.6615
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,1,54.3201
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,2,49.3208
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,3,44.7082
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,4,40.5513
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,5,36.9424
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,6,33.9883
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,7,31.7782
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,8,30.3237
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,9,29.5045
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,10,29.0836
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,11,28.7985
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,12,28.4524
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,13,27.9424
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,14,27.2439
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,15,26.3817
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,16,25.4051
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,17,24.3739
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,18,23.3469
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,19,22.3748
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,20,21.4949
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,21,20.7296
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,22,20.0823
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,23,19.5425
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,24,19.087
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,25,18.6881
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,26,18.3189
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,27,17.9569
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,28,17.587
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,29,17.2019
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,30,16.8014
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,31,16.3906
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,32,15.9776
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,33,15.5717
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,34,15.1812
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,35,14.8125
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,36,14.4695
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,37,14.153
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,38,13.8611
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,39,13.5897
