batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,246.355
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,244.592
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,242.838
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,241.099
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,239.371
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,237.65
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,235.942
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,234.247
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,232.565
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,230.895
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,229.238
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,227.593
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,225.956
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,224.335
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,222.731
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,221.138
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,219.558
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,217.992
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,216.439
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,214.903
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,213.381
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,211.869
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,210.368
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,208.879
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,207.403
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,205.938
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,204.486
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,203.044
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,201.613
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,200.194
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,198.785
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,197.39
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,196.009
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,194.639
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,193.273
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,191.914
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,190.565
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,189.224
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,187.897
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,186.58
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,185.276
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,183.983
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,182.702
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,181.431
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,180.171
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,178.919
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,177.677
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,176.446
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,175.224
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,174.011
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,172.804
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,171.604
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,170.412
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,169.229
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,168.055
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,166.888
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,165.73
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,164.579
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,163.439
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,162.307
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,161.183
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,160.069
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,158.964
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,157.867
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,156.778
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,155.698
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,154.628
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,153.566
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,152.511
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,151.463
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,150.421
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,149.385
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,148.355
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,147.334
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,146.318
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,145.309
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,76,144.307
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,77,143.31
