batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,43.1964
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,41.9637
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,40.9036
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,39.9777
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,39.1362
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,38.3298
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,37.393
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,36.2768
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,35.2066
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,34.1188
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,33.0362
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,31.9395
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,30.8642
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,29.8746
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,29.0208
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,28.3117
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,27.7122
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,27.164
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,26.6259
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,26.0942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,25.5658
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,25.042
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,24.56
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,24.1118
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,23.646
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,23.1747
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,22.7015
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,22.3771
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,22.0962
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,21.9035
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,21.6786
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,21.5183
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,21.3335
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,21.1297
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,21.0337
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,20.8523
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,20.545
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,20.5327
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,20.1874
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,19.9707
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,19.968
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,19.5447
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,19.3428
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,19.1579
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,18.8942
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,18.7365
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,18.4453
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,18.1621
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,17.8679
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,17.682
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,17.4766
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,17.2637
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,17.0777
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,16.8854
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,16.5599
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,16.4983
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,16.081
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,15.8962
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,15.6583
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,15.6838
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,15.4141
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,14.9441
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,14.8344
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,14.569
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,14.3144
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,14.1741
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,13.8482
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,13.7415
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,13.7072
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,13.4797
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,13.3526
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,13.1519
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,13.0206
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,12.8003
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,12.7534
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,12.524
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,12.3854
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,12.2218
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,11.9966
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,11.9466
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,11.8569
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,11.5624
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,11.407
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,11.2968
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,11.0878
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,10.9562
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,10.7616
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,10.7148
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,10.8991
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,10.519
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,10.3751
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,10.467
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,10.1645
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,10.0375
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,9.93531
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,9.79152
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,9.74543
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,9.84122
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,9.48708
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,9.66912
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,9.43334
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,33.1251
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,9.45173
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,9.08758
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,9.23558
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,104,9.12551
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,105,8.95655
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,106,9.24939
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,107,9.32725
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,108,9.08531
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,109,8.86064
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,110,8.88944
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,111,8.82848
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,112,8.60798
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,113,8.46512
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,114,8.39998
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,115,8.29418
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,116,8.17271
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,117,8.14637
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,118,8.01823
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,119,7.87298
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,120,7.82035
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,121,7.77349
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,122,7.65028
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,123,7.52392
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,124,7.4725
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,125,7.41348
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,126,7.29514
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,127,7.22997
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,128,7.19218
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,129,7.11515
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,130,7.01529
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,131,6.94607
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,132,6.86668
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,133,6.80894
