batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,45.0396
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,43.5722
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,42.0474
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,40.6141
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,39.2437
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,37.9422
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,36.7458
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,35.7613
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,34.9338
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,34.1488
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,33.3204
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,32.5638
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,31.9851
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,31.5537
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,30.9077
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,30.1438
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,29.5676
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,29.0907
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,28.6484
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,28.2049
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,27.7466
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,27.3185
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,26.9447
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,26.5221
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,26.1287
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,25.7737
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,25.3909
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,27,25.0005
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,28,24.554
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,29,23.9504
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,30,23.6988
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,31,23.3989
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,32,23.0071
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,33,25.0385
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,34,22.3248
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,35,22.1041
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,36,21.6107
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,37,21.496
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,38,21.3799
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,39,21.214
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,40,21.0394
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,41,20.9701
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,42,20.755
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,43,20.5699
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,44,20.4479
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,45,20.3602
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,46,20.2659
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,47,20.1552
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,48,20.1169
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,49,20.7701
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,50,19.9735
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,51,19.9205
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,52,19.838
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,53,19.7604
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,54,19.6924
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,55,19.6224
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,56,19.544
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,57,19.4625
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,58,19.3809
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,59,19.2993
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,60,19.2351
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,61,19.139
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,62,19.0642
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,63,18.9787
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,64,18.8812
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,65,18.7549
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,66,18.6328
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,67,19.3119
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,68,18.6224
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,69,18.7347
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,70,18.7385
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,71,18.598
