batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,113.775
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,106.918
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,100.407
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,94.2537
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,88.4691
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,83.0535
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,77.9902
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,73.2535
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,68.8212
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,64.6794
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,60.8204
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,57.2385
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,53.9292
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,50.8864
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,48.1007
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,45.5574
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,43.2349
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,41.1045
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,39.1327
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,37.2853
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,35.5325
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,33.8532
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,32.2376
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,30.6863
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,29.208
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,27.8169
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,26.5289
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,25.3598
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,24.3218
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,23.4218
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,22.6586
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,22.0204
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,21.4849
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,21.0219
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,20.5982
