batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,29.6885
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,28.397
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,27.2921
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,26.3973
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,25.5539
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,24.7876
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,24.0601
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,23.4282
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,22.8413
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,22.1834
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,21.4228
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,20.2331
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,19.2033
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,18.433
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,18.3938
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,18.4352
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,18.4927
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,18.4247
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,18.339
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,18.175
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,18.0258
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,17.8704
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,17.791
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,17.7816
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,17.7434
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,17.712
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,17.6982
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,17.5843
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,17.5113
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,17.3913
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,17.259
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,17.1274
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,17.0174
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,16.8822
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,16.7417
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,16.6197
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,16.5423
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,16.4248
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,16.2657
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,16.1315
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,15.9863
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,15.7909
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,15.5987
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,15.431
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,15.2913
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,15.0838
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,14.9342
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,14.8845
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,14.6479
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,14.4982
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,14.3865
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,14.2496
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,14.046
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,13.8984
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,13.9804
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,13.9558
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,13.5447
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,13.7963
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,13.2381
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,13.2654
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,12.9422
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,12.7245
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,12.5938
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,12.4176
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,12.2129
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,12.0992
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,11.9625
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,11.8039
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,11.7699
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,11.6197
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,11.5206
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,11.3753
