batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,26.6823
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,25.9236
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,25.3295
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,24.9188
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,24.4906
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,24.1078
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,23.7248
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,23.3537
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,22.9816
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,22.6288
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,22.1766
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,21.7931
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,21.2824
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,20.5925
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,19.8153
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,19.1726
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,18.6706
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,18.2719
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,17.9429
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,17.6114
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,17.586
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,17.3073
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,16.5962
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,16.3909
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,16.7512
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,16.5272
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,16.4023
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,16.2262
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,16.0953
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,15.992
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,15.8511
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,15.6535
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,15.4165
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,15.2695
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,15.0598
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,14.8792
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,14.7037
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,14.5011
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,14.6818
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,14.2841
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,13.9039
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,13.8121
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,13.6315
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,13.4112
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,13.1919
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,12.9851
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,12.8146
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,47,12.6323
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,48,12.3808
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,49,12.0992
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,50,11.7222
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,51,11.0374
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,52,10.675
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,53,11.1075
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,54,11.1832
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,55,10.5379
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,56,10.3354
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,57,10.2354
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,58,10.0695
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,59,9.84204
