batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,52.6049
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,49.6407
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,46.9249
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,44.4263
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,42.1041
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,39.9248
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,37.8652
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,35.9118
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,34.0554
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,32.2916
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,30.6169
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,29.0295
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,27.5279
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,26.1099
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,24.7732
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,23.5143
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,22.3302
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,21.2158
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,20.1668
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,19.181
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,18.2563
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,17.3908
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,16.5813
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,15.8239
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,15.1167
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,14.4567
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,13.8402
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,13.2649
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,12.7273
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,12.2246
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,11.7535
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,11.3105
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,10.8932
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,10.5012
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,10.1323
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,9.78543
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,9.4593
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,9.1529
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,8.86442
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,8.59298
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,8.33744
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,8.09652
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,7.8687
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,7.65256
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,7.44691
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,7.25081
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,7.06292
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,47,6.88222
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,48,6.70807
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,49,6.53995
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,50,6.3775
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,51,6.22053
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,52,6.06859
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,53,5.92137
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,54,5.77881
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,55,5.64032
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,56,5.506
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,57,5.37574
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,58,5.24956
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,59,5.12728
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,60,5.00876
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,61,4.89364
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,62,4.78161
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,63,4.67297
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,64,4.56772
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,65,4.46572
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,66,4.36691
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,67,4.2712
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,68,4.17854
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,69,4.0888
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,70,4.00183
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,71,3.91768
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,72,3.83644
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,73,3.75791
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,74,3.6821
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,75,3.60925
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,76,3.53881
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,77,3.47082
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,78,3.40526
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,79,3.3419
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,80,3.28069
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,81,3.22139
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,82,3.16393
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,83,3.10842
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,84,3.05464
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,85,3.00269
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,86,2.95236
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,87,2.90364
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,88,2.8566
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,89,2.81118
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,90,2.76732
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,91,2.72497
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,92,2.68407
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,93,2.64451
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,94,2.60619
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,95,2.56887
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,96,2.53264
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,97,2.49754
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,98,2.46359
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,99,2.43075
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,100,2.399
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,-1,2.46002
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,101,2.36833
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,102,2.33864
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,103,2.30988
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,104,2.28202
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,105,2.25508
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,106,2.229
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,107,2.2038
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,108,2.17941
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,109,2.15579
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,110,2.13293
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,111,2.11082
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,112,2.08943
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,113,2.06866
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,114,2.04854
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,115,2.029
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,116,2.01011
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,117,1.99184
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,118,1.97413
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,119,1.95698
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,120,1.94032
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,121,1.92419
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,122,1.90857
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,123,1.89342
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,124,1.87868
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,125,1.86433
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,126,1.85032
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,127,1.83668
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,128,1.82341
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,129,1.81048
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,130,1.79786
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,131,1.78557
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,132,1.7736
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,133,1.76191
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,134,1.75051
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,135,1.7394
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,136,1.72859
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,137,1.71806
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,138,1.70781
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,139,1.69782
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,140,1.68808
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,141,1.67857
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,142,1.66928
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,143,1.66024
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,144,1.65141
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,145,1.6428
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,146,1.63434
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,147,1.62604
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,148,1.6179
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,149,1.60995
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,150,1.60215
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,151,1.59453
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,152,1.58706
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,153,1.57972
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,154,1.57253
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,155,1.56549
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,156,1.55855
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,157,1.55178
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,158,1.54514
