batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,28.0446
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,25.6409
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,23.5742
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,21.5877
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,19.8228
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,18.3983
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,17.4442
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,16.9722
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,16.7451
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,16.5413
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,16.2582
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,15.7401
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,15.0253
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,14.1599
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,13.3104
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,12.7271
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,12.3186
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,11.7799
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,11.0278
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,10.1312
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,9.18031
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,8.24535
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,7.42399
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,6.7124
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,6.16132
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,5.75463
