batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,0,51.1982
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,1,49.3033
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,2,47.7847
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,3,46.5286
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,4,45.373
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,5,44.2645
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,6,43.1477
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,7,41.9832
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,8,40.7179
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,9,39.333
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,10,37.8326
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,11,36.254
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,12,34.6722
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,13,33.1616
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,14,31.7163
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,15,30.307
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,16,29.0375
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,17,27.8809
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,18,26.7686
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,19,25.8114
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,20,24.8971
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,21,24.0502
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,22,23.3076
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,23,22.537
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,24,21.7895
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,25,21.074
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,26,20.3216
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,27,19.5474
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,28,18.7151
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,29,17.8798
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,30,17.3661
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,31,16.9132
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,32,16.3983
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,33,15.9104
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,34,15.2318
