batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,60.7961
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,53.2323
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,46.7104
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,41.4659
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,37.7176
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,35.5037
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,34.5376
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,34.2902
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,34.2423
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,34.0506
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,33.5732
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,32.8005
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,31.7852
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,30.619
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,29.4129
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,28.2631
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,27.2477
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,26.4092
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,25.7528
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,25.2472
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,24.8384
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,24.4675
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,24.089
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,23.6729
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,23.2076
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,22.6959
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,22.1532
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,21.6004
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,21.0576
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,20.5414
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,20.0629
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,19.6233
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,19.2171
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,18.8371
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,18.4742
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,18.1207
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,17.772
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,17.4241
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,17.078
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,16.7351
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,16.3973
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,16.07
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,15.752
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,15.4455
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,15.151
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,14.8693
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,14.5991
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,14.3397
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,14.0894
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,13.8476
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,13.6121
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,13.3815
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,13.1551
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,12.9328
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,12.7155
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,12.5039
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,12.2994
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,12.1018
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,11.9111
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,11.7263
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,11.5483
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,11.3774
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,11.2121
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,11.0514
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,10.8954
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,10.7426
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,10.5937
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,10.4476
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,10.3053
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,10.1669
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,10.0323
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,9.90118
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,9.77295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,9.64763
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,9.5251
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,9.40475
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,9.28614
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,9.16999
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,9.0569
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,8.94654
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,8.83838
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,8.73268
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,8.63016
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,8.53005
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,8.43184
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,8.33646
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,8.24363
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,8.1527
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,8.0642
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,7.97761
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,7.89283
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,7.80983
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,7.72895
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,7.64941
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,7.57156
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,7.49511
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,7.41991
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,7.34615
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,7.27342
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,7.2014
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,7.13029
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,7.67777
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,7.0603
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,6.99168
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,6.9245
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,104,6.85857
