batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,41.3014
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,37.8984
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,34.8913
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,32.2533
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,29.9561
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,27.966
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,26.2528
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,24.7836
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,23.5399
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,22.5062
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,21.6593
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,20.9704
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,20.4059
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,19.9283
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,19.505
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,19.1055
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,18.7076
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,18.2964
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,17.8652
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,17.4121
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,16.9412
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,16.4611
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,15.9832
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,15.5201
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,15.0825
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,14.6778
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,14.3088
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,27,13.9736
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,28,13.6678
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,29,13.3876
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,30,13.1264
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,31,12.8799
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,32,12.6443
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,33,12.4167
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,34,12.1952
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,35,11.9807
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,36,11.7706
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,37,11.5651
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,38,11.3644
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,39,11.169
