batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,96.7709
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,90.2487
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,84.1424
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,78.4308
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,73.1075
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,68.1685
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,63.6083
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,59.4137
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,55.5651
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,52.0478
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,48.8515
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,45.9627
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,43.3667
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,41.0562
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,39.0156
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,37.2344
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,35.6921
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,34.3639
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,33.2186
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,32.2213
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,31.3367
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,30.534
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,29.781
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,29.0537
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,28.34
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,27.6331
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,26.9307
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,26.2307
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,25.5361
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,24.8481
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,24.1763
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,23.5263
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,22.8969
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,22.2938
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,21.7169
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,21.1678
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,20.6467
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,20.1518
