batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,44.3848
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,41.1983
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,38.2864
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,35.6157
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,33.1672
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,30.9247
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,28.8806
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,27.0296
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,25.3631
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,23.8756
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,22.5601
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,21.4087
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,20.417
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,19.5791
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,18.8843
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,18.3182
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,17.8657
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,17.5055
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,17.2139
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,16.967
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,16.7437
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,16.5265
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,16.3015
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,16.0602
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,15.7983
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,15.5145
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,15.2102
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,14.8891
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,14.5576
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,14.2227
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,13.8914
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,13.5704
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,13.2644
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,12.9777
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,12.7113
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,12.4664
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,12.2421
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,12.0362
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,11.8451
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,11.665
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,11.4929
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,11.3267
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,11.1644
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,11.0045
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,10.846
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,10.6886
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,10.5326
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,10.3782
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,10.2259
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,10.0767
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,9.93181
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,9.79134
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,9.65578
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,9.52594
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,9.40163
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,9.28271
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,9.16915
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,9.06059
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,8.95676
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,8.85696
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,8.76081
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,8.66773
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,8.57745
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,8.48992
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,8.40478
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,8.32175
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,8.24076
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,8.16193
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,8.085
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,8.01018
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,7.93739
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,7.8665
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,7.79757
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,7.73063
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,7.66551
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,7.60242
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,76,7.54115
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,77,7.4817
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,78,7.4239
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,79,7.36742
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,80,7.31237
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,81,7.25862
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,82,7.20598
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,83,7.15444
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,84,7.10406
