batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,21.705
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,19.4102
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,17.4929
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,15.9616
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,14.4199
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,12.878
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,11.6627
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,10.9505
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,10.39
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,9.8448
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,9.38216
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,9.01588
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,8.7921
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,8.66966
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,8.57303
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,8.46913
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,8.3709
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,7.97025
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,10.4272
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,6.53998
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,6.32089
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,6.19845
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,5.90305
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,5.54403
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,5.39097
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,5.10197
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,4.75746
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,4.59024
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,4.17106
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,3.93501
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,3.55951
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,3.20703
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,2.93374
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,2.71198
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,2.58488
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,2.44814
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,2.37282
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,2.09429
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,2.83128
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,2.69269
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,2.47136
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,2.16592
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,2.41327
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,4.21351
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,2.18726
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,2.17016
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,2.08813
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,4.41532
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,7.38018
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,7.47596
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,8.58491
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,7.83585
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,6.81494
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,6.59304
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,6.31709
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,6.13994
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,6.04851
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,6.00259
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,6.01085
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,6.1788
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,6.09242
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,6.12559
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,6.11104
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,6.06062
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,5.98574
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,5.89857
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,5.80996
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,5.72663
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,5.65974
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,5.77071
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,5.66144
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,5.68925
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,5.71005
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,5.7127
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,5.69794
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,5.66898
