batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,17.1009
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,15.795
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,14.8464
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,13.9911
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,13.1649
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,12.3566
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,11.6059
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,10.8963
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,10.17
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,9.51657
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,8.99553
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,8.43224
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,7.88944
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,7.34325
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,6.72943
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,6.15126
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,5.63687
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,5.15764
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,4.75609
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,4.2761
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,3.84773
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,3.50535
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,3.16228
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,2.93787
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,2.7125
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,2.4904
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,2.29361
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,2.01918
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,1.80684
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,1.55902
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,1.32395
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,1.20362
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,1.23196
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,1.48389
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,1.18707
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,1.15037
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,1.04789
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,1.05128
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,0.845951
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,0.801678
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,0.725579
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,0.628181
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,0.697145
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,0.551395
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,0.585326
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,0.425821
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,0.421592
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,0.361913
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,0.331469
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,0.352391
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,0.404121
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,0.258812
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,0.231303
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,0.265923
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,0.471312
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,0.214079
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,0.245146
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,0.38753
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,0.252899
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,0.169015
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,0.300822
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,0.291247
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,0.166095
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,0.277401
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,0.303294
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,0.158291
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,0.465488
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,0.226215
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,0.541487
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,0.571818
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,0.254315
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,0.493413
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,0.421451
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,0.409476
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,0.368637
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,0.329683
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,76,0.381952
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,77,0.131976
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,78,0.394336
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,79,0.310063
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,80,0.271201
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,81,0.269273
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,82,0.236509
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,83,0.221916
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,84,0.237144
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,85,0.179286
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,86,0.286099
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,87,0.26958
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,88,0.178099
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,89,0.172122
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,90,0.228126
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,91,0.187023
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,92,0.23294
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,93,0.184926
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,94,0.24772
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,95,0.246901
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,96,0.121075
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,97,0.0931982
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,98,0.266247
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,99,0.234635
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,100,0.160555
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,-1,25.9045
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,101,0.155684
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,102,0.196193
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,103,0.16245
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,104,0.202623
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,105,0.181277
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,106,0.176354
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,107,0.167705
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,108,0.162506
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,109,0.131381
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,110,0.209796
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,111,0.20627
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,112,0.110926
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,113,0.103161
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,114,0.186762
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,115,0.137598
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,116,0.197636
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,117,0.18911
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,118,0.131189
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,119,0.126561
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,120,0.159737
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,121,0.117681
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,122,0.197972
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,123,0.185899
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,124,0.122451
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,125,0.121582
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,126,0.156733
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,127,0.121017
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,128,0.180328
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,129,0.168821
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,130,0.125074
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,131,0.114219
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,132,0.164455
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,133,0.141425
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,134,0.145166
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,135,0.137297
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,136,0.133581
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,137,0.111008
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,138,0.17068
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,139,0.162044
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,140,0.102468
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,141,0.0855288
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,142,0.178773
