batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,48.6534
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,47.7913
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,46.9214
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,46.0075
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,44.9845
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,43.9116
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,42.8806
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,41.9916
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,41.3105
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,40.8253
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,40.5143
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,40.3446
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,40.2772
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,40.2788
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,40.3103
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,40.3327
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,40.3423
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,40.3312
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,40.2762
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,40.2139
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,40.1394
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,40.0483
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,39.9404
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,39.8179
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,39.6828
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,39.5374
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,39.3901
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,39.25
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,39.1208
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,39.0056
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,38.9121
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,38.8274
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,38.7304
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,38.618
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,38.4923
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,38.352
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,38.2207
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,38.0978
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,37.9752
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,37.8342
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,37.6447
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,37.5021
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,37.3585
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,37.2007
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,37.0268
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,36.83
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,36.5983
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,36.3624
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,36.0941
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,35.7536
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,35.2932
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,34.9322
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,34.4738
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,34.0487
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,33.723
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,33.3865
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,32.8322
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,32.4103
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,32.0463
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,31.743
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,31.4563
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,31.1079
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,30.6021
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,30.3475
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,30.0969
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,29.8737
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,29.6126
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,29.3216
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,29.0194
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,28.8098
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,28.6439
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,28.4912
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,28.3745
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,28.3124
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,28.1466
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,28.0274
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,27.9328
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,77,27.8381
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,78,27.7399
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,79,27.6011
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,80,27.5237
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,81,27.4632
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,82,27.2892
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,83,27.1823
