batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,43.974
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,43.1468
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,42.2708
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,41.362
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,40.3646
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,39.4871
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,38.9183
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,38.6036
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,38.3642
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,38.0842
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,37.7209
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,37.2525
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,36.6486
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,35.9646
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,35.3955
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,34.9952
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,34.6654
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,34.3053
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,33.8834
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,33.4703
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,33.1116
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,32.7814
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,32.4528
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,32.1467
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,31.8609
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,31.557
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,31.2864
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,30.9462
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,30.6674
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,30.4345
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,30.2411
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,30.0535
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,29.8617
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,29.6908
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,29.5359
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,29.3697
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,29.2038
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,29.2253
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,29.1162
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,28.9725
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,28.7564
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,28.5073
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,28.3776
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,28.1221
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,28.0818
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,27.9866
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,27.849
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,47,27.6899
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,48,27.5556
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,49,27.4064
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,50,27.2401
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,51,27.0456
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,52,26.9113
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,53,26.6553
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,54,26.4508
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,55,26.2835
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,56,26.1264
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,57,26.0444
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,58,25.9825
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,59,25.8873
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,60,25.7097
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,61,25.5942
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,62,25.4038
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,63,25.2259
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,64,25.2212
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,65,25.0258
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,66,24.9274
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,67,24.7957
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,68,24.6627
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,69,24.5428
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,70,24.4543
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,71,24.3351
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,72,24.2253
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,73,24.107
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,74,23.9893
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,75,24.0549
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,76,23.7325
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,77,23.6097
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,78,23.5223
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,79,23.3649
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,80,23.1425
