batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,42.668
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,39.3269
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,36.1729
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,33.2063
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,30.4369
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,27.8801
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,25.5584
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,23.496
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,21.713
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,20.2166
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,18.9951
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,18.0162
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,17.2319
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,16.5858
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,16.0243
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,15.5063
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,15.0059
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,14.511
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,14.0215
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,13.5439
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,13.0861
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,12.6554
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,12.2556
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,11.8878
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,11.5515
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,11.2456
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,10.9678
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,10.7161
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,10.4873
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,10.2772
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,10.0816
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,9.89585
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,9.71538
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,9.53576
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,9.35375
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,9.16728
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,8.97569
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,8.77987
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,8.58168
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,8.38389
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,8.19003
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,8.00341
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,7.82668
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,7.66166
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,7.50884
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,7.36751
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,7.23606
