batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,256.209
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,254.363
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,252.527
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,250.698
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,248.878
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,247.067
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,245.264
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,243.468
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,241.679
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,239.899
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,238.126
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,236.362
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,234.604
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,232.855
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,231.115
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,229.386
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,227.666
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,225.955
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,224.254
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,222.561
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,220.877
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,219.202
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,217.535
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,215.877
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,214.228
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,212.588
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,210.956
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,209.331
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,207.715
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,206.107
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,204.509
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,202.92
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,201.341
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,199.77
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,198.208
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,196.654
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,195.109
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,193.572
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,192.045
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,190.527
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,189.018
