batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,0,289.643
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,1,287.672
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,2,285.719
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,3,283.777
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,4,281.849
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,5,279.931
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,6,278.026
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,7,276.136
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,8,274.26
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,9,272.402
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,10,270.56
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,11,268.733
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,12,266.921
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,13,265.126
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,14,263.347
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,15,261.584
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,16,259.832
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,17,258.09
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,18,256.358
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,19,254.64
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,20,252.937
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,21,251.245
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,22,249.564
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,23,247.899
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,24,246.25
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,25,244.612
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,26,242.985
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,27,241.367
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,28,239.763
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,29,238.172
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,30,236.589
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,31,235.018
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,32,233.455
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,33,231.903
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,34,230.361
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,35,228.83
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,36,227.31
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,37,225.797
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,38,224.29
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,39,222.79
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,40,221.299
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,41,219.812
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,42,218.332
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,43,216.86
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,44,215.395
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,45,213.938
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,46,212.488
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,47,211.046
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,48,209.613
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,49,208.189
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,50,206.773
4,0.005,8,1250,1.0,0.0,3,3,5,3,10,106,51,205.364
