batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,23.4833
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,22.3603
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,21.3097
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,20.3039
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,19.3164
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,18.296
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,17.3298
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,16.4585
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,15.5612
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,14.7408
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,14.1282
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,13.5952
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,13.0445
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,12.6484
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,12.2443
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,11.8436
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,11.4837
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,11.1632
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,10.8684
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,10.6017
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,10.3582
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,10.1234
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,9.83395
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,9.54942
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,9.29387
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,9.06658
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,8.857
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,8.66203
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,8.48169
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,8.29634
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,8.12325
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,7.96087
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,7.80867
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,7.66016
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,7.51991
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,7.38704
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,7.22492
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,6.96363
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,6.70949
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,6.51858
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,6.3469
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,6.15266
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,5.949
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,5.766
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,5.59963
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,5.4346
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,5.28359
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,5.15066
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,5.01233
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,4.8616
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,4.7216
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,4.60399
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,4.48991
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,4.37724
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,4.24956
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,4.11122
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,3.97921
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,3.85721
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,3.72889
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,3.61911
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,3.5268
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,3.45506
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,3.38473
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,3.31917
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,3.25032
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,3.18704
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,3.12829
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,3.07706
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,3.02656
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,2.98043
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,2.92805
