batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,49.3416
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,47.3766
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,45.706
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,44.1093
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,42.4563
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,40.7355
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,38.93
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,37.0239
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,35.0593
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,33.4587
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,31.9214
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,30.5799
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,29.498
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,28.5384
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,27.684
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,26.9431
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,26.3017
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,25.7206
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,25.135
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,24.465
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,23.6908
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,22.9589
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,22.4282
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,22.0499
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,21.5834
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,20.9923
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,20.4538
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,19.9991
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,19.5876
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,19.2046
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,18.8418
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,18.4902
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,18.143
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,17.7998
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,17.4704
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,17.1749
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,16.9321
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,16.7375
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,16.5526
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,16.3347
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,16.0759
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,41,15.8043
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,42,15.5562
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,43,15.3325
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,44,15.0874
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,45,14.7882
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,46,14.4615
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,47,14.167
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,48,13.9404
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,49,13.7406
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,50,13.4787
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,51,13.2643
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,52,13.1381
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,53,12.9722
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,54,12.83
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,55,12.7173
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,56,12.5318
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,57,12.432
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,58,12.2593
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,59,12.1765
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,60,12.0411
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,61,11.9157
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,62,11.8119
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,63,11.6421
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,64,11.5441
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,65,11.4916
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,66,11.3211
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,67,11.2094
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,68,11.1661
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,69,10.989
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,70,10.8914
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,71,10.7743
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,72,10.7017
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,73,10.6379
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,74,10.5571
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,75,10.452
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,76,10.3243
