batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,0,62.2093
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,1,57.246
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,2,52.8573
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,3,49.0669
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,4,45.838
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,5,43.0912
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,6,40.7399
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,7,38.7176
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,8,36.969
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,9,35.4507
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,10,34.1272
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,11,32.9716
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,12,31.9553
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,13,31.0624
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,14,30.2713
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,15,29.5559
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,16,28.8868
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,17,28.2404
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,18,27.6046
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,19,26.9742
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,20,26.3468
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,21,25.725
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,22,25.1155
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,23,24.5276
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,24,23.9652
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,25,23.4318
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,26,22.9288
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,27,22.4545
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,28,22.005
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,29,21.5766
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,30,21.1637
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,31,20.762
