batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,0,21.1122
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,1,19.584
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,2,18.2806
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,3,17.0749
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,4,16.0082
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,5,15.1463
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,6,14.4875
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,7,14.1293
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,8,13.9269
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,9,13.6203
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,10,13.1908
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,11,12.6551
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,12,11.9778
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,13,11.437
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,14,10.9951
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,15,10.7078
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,16,10.4298
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,17,10.1282
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,18,9.8325
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,19,9.5186
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,20,9.16264
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,21,8.7791
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,22,8.3016
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,23,8.31789
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,24,7.91593
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,25,7.42849
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,26,7.04297
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,27,6.66309
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,28,6.57435
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,29,6.39725
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,30,6.69913
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,31,6.1911
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,32,5.91868
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,33,5.64294
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,34,5.47462
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,35,5.38362
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,36,5.38363
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,37,5.17163
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,38,4.89398
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,39,4.68594
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,40,4.59552
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,41,4.54475
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,42,4.39935
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,43,4.24
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,44,4.10195
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,45,3.97116
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,46,3.8709
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,47,3.75343
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,48,3.69171
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,49,3.60298
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,50,3.52066
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,51,3.44892
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,52,3.33084
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,53,3.22447
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,54,3.12073
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,55,3.02706
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,56,2.99992
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,57,2.88113
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,58,2.80839
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,59,2.72761
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,60,2.63405
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,61,2.57642
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,62,2.52311
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,63,2.43957
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,64,2.38022
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,65,2.31645
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,66,2.23774
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,67,2.17635
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,68,2.14065
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,69,2.07593
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,70,2.01482
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,71,1.97252
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,72,1.91628
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,73,1.85997
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,74,1.80494
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,75,1.75174
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,76,1.71028
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,77,1.67244
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,78,1.63332
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,79,1.61879
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,80,1.65158
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,81,1.6818
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,82,1.49619
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,83,1.44671
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,84,1.50795
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,85,1.39835
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,86,1.33798
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,87,1.37516
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,88,1.31408
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,89,1.25167
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,90,1.26623
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,91,1.22872
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,92,1.17602
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,93,1.17442
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,94,1.16004
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,95,1.11287
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,96,1.08902
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,97,1.08408
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,98,1.0549
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,99,1.01746
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,100,1.0047
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,-1,16.5095
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,101,0.993603
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,102,0.959671
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,103,0.928289
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,104,0.91293
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,105,0.90015
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,106,0.877506
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,107,0.846403
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,108,0.818453
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,109,0.796566
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,110,0.779927
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,111,0.76915
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,112,0.766224
