batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,238.558
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,236.97
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,235.387
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,233.81
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,232.24
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,230.676
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,229.119
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,227.568
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,226.025
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,224.489
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,222.96
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,221.439
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,219.925
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,218.418
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,216.919
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,215.426
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,213.941
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,212.462
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,210.989
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,209.524
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,208.065
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,206.613
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,205.167
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,203.729
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,202.296
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,200.869
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,199.449
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,198.035
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,196.627
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,195.225
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,193.828
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,192.438
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,191.054
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,189.675
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,188.301
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,186.934
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,185.572
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,184.216
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,182.865
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,181.521
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,180.182
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,178.848
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,177.52
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,176.199
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,174.883
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,173.573
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,172.268
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,47,170.97
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,48,169.678
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,49,168.391
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,50,167.111
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,51,165.837
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,52,164.569
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,53,163.307
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,54,162.05
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,55,160.799
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,56,159.555
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,57,158.316
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,58,157.084
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,59,155.859
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,60,154.639
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,61,153.425
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,62,152.218
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,63,151.016
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,64,149.82
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,65,148.629
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,66,147.445
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,67,146.266
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,68,145.092
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,69,143.925
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,70,142.764
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,71,141.608
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,72,140.459
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,73,139.315
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,74,138.177
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,75,137.044
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,76,135.916
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,77,134.794
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,78,133.677
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,79,132.567
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,80,131.461
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,81,130.362
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,82,129.269
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,83,128.182
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,84,127.099
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,85,126.023
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,86,124.952
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,87,123.887
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,88,122.828
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,89,121.774
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,90,120.725
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,91,119.682
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,92,118.644
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,93,117.612
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,94,116.587
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,95,115.567
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,96,114.553
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,97,113.545
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,98,112.543
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,99,111.547
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,100,110.557
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,-1,117.431
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,101,109.573
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,102,108.596
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,103,107.625
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,104,106.66
