batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,0,336.377
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,1,333.997
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,2,331.632
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,3,329.278
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,4,326.936
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,5,324.611
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,6,322.299
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,7,320.001
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,8,317.717
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,9,315.444
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,10,313.18
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,11,310.924
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,12,308.677
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,13,306.438
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,14,304.211
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,15,301.996
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,16,299.791
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,17,297.599
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,18,295.416
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,19,293.245
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,20,291.085
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,21,288.938
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,22,286.805
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,23,284.683
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,24,282.571
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,25,280.47
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,26,278.38
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,27,276.301
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,28,274.238
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,29,272.187
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,30,270.149
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,31,268.123
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,32,266.107
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,33,264.102
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,34,262.108
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,35,260.127
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,36,258.157
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,37,256.197
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,38,254.247
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,39,252.306
4,0.005,9,1250,1.0,0.0,3,3,5,3,10,106,40,250.374
