batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,21.3849
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,19.8595
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,18.5179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,17.2998
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,16.4262
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,15.9167
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,15.5742
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,15.245
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,14.8975
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,14.5054
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,14.122
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,13.7646
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,13.5152
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,13.3674
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,13.2927
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,13.2565
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,13.2397
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,13.2167
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,13.181
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,13.1347
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,13.0868
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,13.0235
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,12.9632
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,12.9199
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,12.8903
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,12.865
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,12.8282
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,12.7685
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,12.6802
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,12.5847
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,12.4596
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,12.3396
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,12.231
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,12.1158
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,11.9688
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,11.8076
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,11.606
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,11.3719
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,11.1247
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,10.8142
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,10.4868
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,10.1658
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,9.77608
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,9.30491
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,8.80094
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,8.35636
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,7.74375
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,7.21464
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,6.79018
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,6.54257
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,6.13254
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,5.70341
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,5.53748
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,5.38929
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,5.19845
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,4.9548
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,4.81796
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,4.58499
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,4.40066
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,4.32843
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,4.27779
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,4.18179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,4.13913
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,4.32264
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,4.20444
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,3.97316
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,4.01931
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,3.87257
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,3.77438
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,3.79599
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,3.75057
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,3.61775
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,3.53494
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,3.43751
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,3.39715
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,3.35297
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,3.31145
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,3.26132
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,3.19948
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,3.14966
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,3.11208
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,3.05882
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,3.01831
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,2.98189
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,2.94201
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,2.88977
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,2.8464
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,2.80214
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,2.7836
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,2.80508
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,2.80419
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,2.75947
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,92,2.76103
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,93,2.76398
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,94,2.72807
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,95,2.71116
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,96,2.67963
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,97,2.66892
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,98,2.69706
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,99,2.62454
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,100,2.60599
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,13.379
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,101,2.55021
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,102,2.51411
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,103,2.49801
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,104,2.45322
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,105,2.42093
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,106,2.37892
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,107,2.35171
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,108,2.31738
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,109,2.31046
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,110,2.2754
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,111,2.26757
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,112,2.23599
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,113,2.22321
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,114,2.18806
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,115,2.16475
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,116,2.14803
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,117,2.12179
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,118,2.09312
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,119,2.07462
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,120,2.04119
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,121,2.01376
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,122,1.98841
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,123,1.94825
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,124,1.92787
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,125,1.8907
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,126,1.86046
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,127,1.82281
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,128,1.79738
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,129,1.75591
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,130,1.71738
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,131,1.67285
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,132,1.62965
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,133,1.59735
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,134,1.56113
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,135,1.57262
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,136,1.8454
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,137,1.72366
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,138,1.70457
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,139,1.63603
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,140,1.48117
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,141,1.5348
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,142,1.38069
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,143,1.4495
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,144,1.80973
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,145,1.53254
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,146,1.62412
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,147,1.83833
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,148,1.98291
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,149,2.03384
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,150,1.99656
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,151,1.80634
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,152,1.8675
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,153,3.97062
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,154,2.02349
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,155,3.41409
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,156,4.06689
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,157,3.12094
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,158,2.71737
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,159,2.36414
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,160,2.40312
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,161,2.54771
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,162,2.60201
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,163,2.28819
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,164,2.11509
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,165,2.09368
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,166,2.04238
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,167,2.10295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,168,2.09615
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,169,3.46181
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,170,1.77084
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,171,1.71822
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,172,1.56306
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,173,1.51956
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,174,1.44616
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,175,1.35693
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,176,1.2663
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,177,1.20596
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,178,1.16103
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,179,1.06894
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,180,0.999455
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,181,0.983885
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,182,1.22358
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,183,1.57889
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,184,1.52295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,185,1.77557
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,186,1.63724
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,187,1.78295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,188,1.86077
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,189,1.61958
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,190,1.63891
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,191,2.8509
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,192,8.13586
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,193,8.50692
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,194,8.49792
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,195,8.39954
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,196,8.14418
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,197,7.73378
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,198,7.30785
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,199,7.01917
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,200,6.87849
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,-1,12.1272
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,201,6.7991
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,202,6.7802
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,203,6.81826
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,204,6.80791
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,205,6.76358
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,206,6.6883
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,207,6.59315
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,208,6.47513
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,209,6.39973
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,210,6.3616
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,211,6.35365
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,212,6.34426
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,213,6.3216
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,214,6.2726
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,215,6.19873
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,216,6.13705
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,217,6.11248
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,218,6.0989
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,219,6.08328
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,220,6.05969
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,221,6.03611
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,222,6.02177
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,223,6.01173
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,224,5.99214
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,225,5.96402
