batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,358.17
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,355.959
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,353.753
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,351.553
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,349.359
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,347.171
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,344.99
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,342.816
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,340.648
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,338.486
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,336.331
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,334.183
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,332.041
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,329.906
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,327.778
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,325.656
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,323.542
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,321.435
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,319.334
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,317.241
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,315.155
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,313.077
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,311.006
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,308.942
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,306.886
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,304.837
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,302.796
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,300.762
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,298.736
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,296.718
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,294.706
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,292.703
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,290.708
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,288.72
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,286.74
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,284.767
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,282.802
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,280.845
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,278.896
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,276.955
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,275.021
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,273.096
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,271.179
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,269.27
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,267.37
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,265.477
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,263.594
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,261.718
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,259.851
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,257.993
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,256.143
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,254.302
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,252.468
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,250.644
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,248.828
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,247.021
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,245.221
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,243.431
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,241.649
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,239.876
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,238.111
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,236.355
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,234.608
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,232.869
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,231.139
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,229.417
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,227.704
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,226.0
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,224.306
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,222.62
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,220.943
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,219.275
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,217.616
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,215.967
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,214.326
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,212.695
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,211.073
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,77,209.461
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,78,207.858
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,79,206.264
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,80,204.68
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,81,203.106
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,82,201.541
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,83,199.986
