batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,0,287.623
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,1,285.739
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,2,283.863
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,3,281.993
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,4,280.13
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,5,278.273
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,6,276.422
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,7,274.578
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,8,272.74
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,9,270.91
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,10,269.087
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,11,267.271
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,12,265.462
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,13,263.66
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,14,261.865
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,15,260.077
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,16,258.295
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,17,256.519
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,18,254.75
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,19,252.987
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,20,251.23
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,21,249.481
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,22,247.738
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,23,246.002
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,24,244.273
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,25,242.551
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,26,240.836
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,27,239.128
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,28,237.425
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,29,235.73
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,30,234.04
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,31,232.356
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,32,230.679
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,33,229.008
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,34,227.345
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,35,225.688
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,36,224.038
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,37,222.394
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,38,220.758
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,39,219.128
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,40,217.505
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,41,215.889
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,42,214.281
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,43,212.679
