batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,0,24.1599
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,1,22.6536
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,2,21.3078
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,3,20.0135
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,4,18.8687
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,5,17.9848
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,6,17.3257
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,7,16.8204
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,8,16.4312
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,9,16.1436
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,10,15.9278
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,11,15.7543
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,12,15.6047
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,13,15.4686
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,14,15.3304
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,15,15.1643
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,16,14.9462
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,17,14.6703
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,18,14.3653
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,19,14.0723
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,20,13.8037
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,21,13.5817
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,22,13.4093
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,23,13.1818
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,24,12.961
4,0.005,47,1250,1.0,0.0,3,3,5,3,10,551,25,12.784
