batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,0,32.2418
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,1,29.1238
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,2,26.513
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,3,24.6234
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,4,23.2483
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,5,22.1398
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,6,21.1371
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,7,20.205
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,8,19.3573
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,9,18.6391
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,10,18.0794
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,11,17.6996
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,12,17.5113
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,13,17.4949
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,14,17.5984
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,15,17.7404
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,16,17.8435
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,17,17.8729
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,18,17.8311
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,19,17.7386
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,20,17.6199
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,21,17.4973
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,22,17.3874
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,23,17.2996
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,24,17.2368
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,25,17.197
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,26,17.1747
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,27,17.1634
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,28,17.157
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,29,17.1499
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,30,17.1384
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,31,17.12
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,32,17.0936
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,33,17.0587
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,34,17.0154
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,35,16.9641
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,36,16.9059
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,37,16.8421
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,38,16.7738
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,39,16.7018
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,40,16.6264
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,41,16.5477
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,42,16.466
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,43,16.381
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,44,16.2917
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,45,16.1967
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,46,16.0946
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,47,15.9847
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,48,15.8663
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,49,15.7402
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,50,15.6077
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,51,15.4701
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,52,15.324
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,53,15.1681
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,54,15.0082
4,0.005,46,1250,1.0,0.0,3,3,5,3,10,551,55,14.8441
