batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,0,348.025
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,1,345.761
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,2,343.509
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,3,341.263
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,4,339.022
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,5,336.788
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,6,334.561
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,7,332.345
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,8,330.14
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,9,327.946
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,10,325.763
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,11,323.591
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,12,321.429
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,13,319.276
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,14,317.132
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,15,314.999
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,16,312.877
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,17,310.763
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,18,308.657
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,19,306.559
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,20,304.471
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,21,302.387
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,22,300.312
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,23,298.247
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,24,296.193
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,25,294.151
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,26,292.12
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,27,290.097
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,28,288.082
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,29,286.076
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,30,284.078
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,31,282.09
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,32,280.109
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,33,278.136
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,34,276.172
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,35,274.217
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,36,272.274
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,37,270.341
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,38,268.42
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,39,266.508
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,40,264.607
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,41,262.72
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,42,260.844
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,43,258.978
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,44,257.124
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,45,255.283
4,0.005,10,1250,1.0,0.0,3,3,5,3,10,106,46,253.45
