batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,42.2499
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,41.6224
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,41.0384
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,40.5104
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,40.0245
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,39.5745
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,39.1839
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,38.8584
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,38.6001
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,38.3294
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,38.02
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,37.6631
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,37.273
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,36.8745
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,36.4759
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,36.0127
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,35.514
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,34.9798
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,34.4015
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,33.7927
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,33.1511
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,32.5241
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,31.8436
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,31.0972
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,30.2191
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,29.4066
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,28.6452
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,27.8844
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,27.0749
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,26.2594
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,25.5616
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,24.869
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,24.2699
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,23.6434
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,22.9233
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,22.4379
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,22.136
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,21.6944
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,21.2071
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,20.6765
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,20.2227
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,20.1765
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,19.4685
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,19.1657
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,18.7044
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,18.3046
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,17.4692
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,17.3482
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,16.8926
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,16.5461
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,16.3333
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,15.9628
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,15.7985
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,15.5683
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,15.4077
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,15.3412
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,14.9762
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,14.7797
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,14.5083
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,14.3135
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,13.9979
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,13.7409
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,13.642
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,13.4318
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,13.335
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,13.1739
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,12.9066
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,12.8521
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,12.8772
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,12.8295
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,12.4376
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,12.4519
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,12.2672
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,12.1808
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,12.0575
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,11.8545
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,11.6654
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,77,11.5395
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,78,11.3805
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,79,11.4046
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,80,11.2286
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,81,11.2734
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,82,11.0565
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,83,10.9837
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,84,10.7007
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,85,10.5343
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,86,10.3878
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,87,10.3644
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,88,10.8269
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,89,10.2521
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,90,10.1583
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,91,10.1343
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,92,9.89533
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,93,9.86324
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,94,9.63748
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,95,9.58756
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,96,9.40589
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,97,9.25398
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,98,9.1917
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,99,9.04608
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,100,8.94841
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,-1,56.46
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,101,8.84847
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,102,8.7549
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,103,8.87733
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,104,8.9032
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,105,8.74929
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,106,8.68571
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,107,8.60605
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,108,8.5108
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,109,8.26616
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,110,8.16852
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,111,8.06459
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,112,8.0281
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,113,7.96792
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,114,7.83039
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,115,7.74371
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,116,7.67272
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,117,7.5585
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,118,7.50472
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,119,7.427
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,120,7.30736
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,121,7.24088
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,122,7.22087
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,123,7.15748
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,124,7.06068
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,125,6.96379
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,126,6.97296
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,127,6.95149
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,128,7.12348
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,129,7.67884
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,130,8.05296
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,131,7.15545
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,132,7.89176
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,133,7.7077
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,134,9.09489
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,135,7.82273
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,136,8.4055
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,137,8.34857
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,138,7.77108
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,139,7.71962
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,140,7.64538
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,141,7.66754
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,142,7.62753
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,143,7.52813
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,144,7.21197
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,145,7.15632
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,146,7.03456
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,147,6.91047
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,148,6.79054
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,149,6.78645
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,150,6.71117
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,151,6.58448
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,152,6.46692
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,153,6.39764
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,154,6.33482
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,155,6.2203
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,156,6.155
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,157,6.10245
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,158,6.04902
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,159,5.98588
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,160,5.88229
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,161,5.82603
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,162,5.77839
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,163,5.68799
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,164,5.63161
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,165,5.63056
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,166,5.62661
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,167,5.63108
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,168,5.56924
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,169,5.51938
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,170,5.47306
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,171,5.40969
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,172,5.42186
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,173,5.3373
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,174,5.44277
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,175,5.70531
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,176,6.54274
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,177,6.79229
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,178,6.38926
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,179,6.563
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,180,6.47356
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,181,6.10409
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,182,6.12076
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,183,5.98224
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,184,5.88224
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,185,5.70186
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,186,5.61387
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,187,5.62066
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,188,5.53204
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,189,5.44496
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,190,5.33233
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,191,5.22766
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,192,5.16308
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,193,5.07096
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,194,5.01941
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,195,4.97683
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,196,4.88963
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,197,4.82641
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,198,4.78006
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,199,4.70502
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,200,4.65212
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,-1,57.4754
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,201,4.60703
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,202,4.55532
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,203,4.51359
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,204,4.4856
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,205,4.43656
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,206,4.40782
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,207,4.33347
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,208,4.28652
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,209,4.24861
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,210,4.20939
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,211,4.17075
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,212,4.13178
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,213,4.09851
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,214,4.07036
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,215,4.03651
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,216,3.99934
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,217,3.96251
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,218,3.93874
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,219,3.92032
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,220,3.90178
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,221,3.93446
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,222,4.0943
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,223,4.09714
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,224,4.14633
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,225,3.97621
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,226,4.04976
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,227,4.01853
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,228,3.92231
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,229,3.93974
