batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,335.959
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,333.352
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,330.758
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,328.175
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,325.606
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,323.047
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,320.499
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,317.964
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,315.44
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,312.926
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,310.426
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,307.941
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,305.471
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,303.015
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,300.574
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,298.148
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,295.737
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,293.338
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,290.953
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,288.58
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,286.222
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,283.879
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,281.548
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,279.235
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,276.938
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,274.655
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,272.386
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,270.13
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,267.888
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,265.662
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,263.452
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,261.257
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,259.08
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,256.92
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,254.774
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,252.645
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,250.527
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,248.425
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,246.339
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,244.268
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,242.211
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,240.168
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,238.137
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,236.12
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,234.117
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,232.132
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,230.162
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,228.207
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,226.268
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,224.345
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,222.437
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,220.545
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,218.667
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,216.803
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,214.951
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,213.114
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,211.289
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,209.476
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,207.677
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,205.892
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,204.12
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,202.361
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,200.615
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,198.882
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,197.16
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,195.45
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,193.749
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,192.062
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,190.388
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,188.727
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,187.081
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,185.446
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,183.824
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,182.215
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,180.617
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,179.031
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,177.457
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,175.893
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,174.341
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,172.801
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,171.269
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,169.748
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,168.238
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,166.738
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,165.25
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,163.773
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,162.307
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,160.853
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,159.41
