batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,284.059
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,281.958
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,279.868
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,277.787
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,275.718
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,273.66
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,271.611
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,269.574
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,267.548
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,265.534
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,263.533
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,261.544
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,259.568
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,257.603
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,255.652
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,253.714
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,251.788
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,249.876
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,247.978
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,246.092
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,244.219
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,242.359
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,240.513
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,238.681
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,236.862
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,235.056
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,233.263
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,231.484
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,229.719
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,227.966
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,226.227
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,224.501
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,222.787
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,221.087
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,219.398
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,217.722
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,216.058
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,214.406
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,212.765
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,211.137
