batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,80.3284
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,74.0123
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,68.3434
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,63.3434
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,59.032
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,55.4182
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,52.473
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,50.1014
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,48.1502
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,46.4444
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,44.8351
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,43.2287
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,41.59
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,39.9273
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,38.2752
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,36.6802
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,35.1892
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,33.8389
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,32.6468
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,31.6056
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,30.6878
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,29.8573
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,29.0822
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,28.3434
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,27.6367
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,26.9684
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,26.3492
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,25.7861
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,25.2772
