batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,44.0428
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,40.2485
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,36.7378
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,33.5396
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,30.6819
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,28.1873
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,26.076
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,24.3496
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,22.975
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,21.8816
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,20.9888
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,20.2296
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,19.557
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,18.943
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,18.374
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,17.8429
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,17.3454
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,16.8779
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,16.4363
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,16.0189
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,15.6255
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,15.2543
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,14.8999
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,14.5567
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,14.2173
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,13.8756
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,13.5295
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,13.1777
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,12.8234
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,12.4737
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,12.1365
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,11.8222
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,11.5401
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,11.294
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,11.0851
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,10.9082
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,10.7544
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,10.6135
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,10.4755
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,10.3324
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,10.1814
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,10.0221
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,9.85807
