batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,28.6443
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,27.3734
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,25.8581
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,24.4774
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,23.1577
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,22.0643
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,21.2096
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,20.5595
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,20.0294
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,19.5736
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,19.1725
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,18.8201
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,18.5175
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,18.2826
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,18.1271
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,18.0338
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,17.9909
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,17.9762
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,17.9755
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,17.9621
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,17.9454
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,17.9276
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,17.9118
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,17.8945
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,17.8757
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,17.8587
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,17.8457
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,17.8394
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,17.8369
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,17.8396
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,17.846
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,17.8518
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,17.856
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,17.8588
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,17.8596
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,17.8585
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,17.8556
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,17.8516
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,17.8464
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,17.8393
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,17.8326
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,17.8273
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,17.8239
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,17.8218
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,44,17.8209
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,45,17.82
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,46,17.8185
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,47,17.8175
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,48,17.816
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,49,17.8137
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,50,17.8106
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,51,17.8076
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,52,17.8049
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,53,17.8026
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,54,17.8005
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,55,17.7987
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,56,17.7971
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,57,17.7955
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,58,17.7936
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,59,17.7913
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,60,17.7885
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,61,17.7854
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,62,17.7819
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,63,17.778
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,64,17.774
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,65,17.7697
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,66,17.7652
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,67,17.7604
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,68,17.7549
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,69,17.7486
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,70,17.742
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,71,17.7345
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,72,17.7253
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,73,17.7154
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,74,17.7047
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,75,17.6932
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,76,17.6811
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,77,17.668
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,78,17.6529
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,79,17.6347
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,80,17.6159
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,81,17.5957
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,82,17.5744
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,83,17.5506
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,84,17.5243
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,85,17.4974
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,86,17.4702
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,87,17.4411
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,88,17.4038
