batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,52.5558
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,51.5304
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,50.3876
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,49.161
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,47.8884
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,46.5369
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,45.2132
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,44.0824
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,43.0891
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,42.2134
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,41.4216
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,40.6832
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,39.9898
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,39.3473
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,38.756
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,38.2053
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,37.68
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,37.167
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,36.6585
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,36.1528
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,35.6532
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,35.1662
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,34.6995
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,34.2588
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,33.8455
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,33.4572
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,33.0905
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,32.7429
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,32.4131
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,32.0997
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,31.8022
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,31.5208
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,31.2555
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,31.0051
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,34,30.7673
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,35,30.5409
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,36,30.3247
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,37,30.1197
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,38,29.9213
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,39,29.712
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,40,29.5408
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,41,29.4041
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,42,29.2695
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,43,29.1177
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,44,28.8667
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,45,29.5321
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,46,28.6289
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,47,28.8625
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,48,28.8542
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,49,28.8115
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,50,28.7624
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,51,28.7103
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,52,28.6536
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,53,28.5895
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,54,28.5168
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,55,28.4382
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,56,28.36
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,57,28.2863
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,58,28.2145
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,59,28.1324
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,60,27.9953
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,61,27.6542
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,62,27.2026
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,63,27.1181
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,64,27.2067
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,65,27.1863
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,66,27.0773
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,67,26.9072
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,68,26.843
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,69,26.7684
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,70,26.7565
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,71,26.6818
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,72,26.4744
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,73,26.3893
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,74,26.2824
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,75,26.223
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,76,26.1622
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,77,26.0759
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,78,26.0063
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,79,25.9262
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,80,25.8753
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,81,25.8486
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,82,25.8087
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,83,25.7484
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,84,25.672
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,85,25.6278
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,86,25.5768
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,87,25.5175
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,88,25.4815
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,89,25.4418
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,90,25.4156
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,91,25.3794
