batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,0,43.1818
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,1,41.6837
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,2,40.2444
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,3,38.6265
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,4,36.9703
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,5,35.4449
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,6,34.2344
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,7,33.3984
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,8,32.8141
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,9,32.3679
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,10,32.0064
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,11,31.663
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,12,31.3326
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,13,31.0246
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,14,30.7344
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,15,30.4541
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,16,30.1915
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,17,29.9435
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,18,29.7105
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,19,29.4852
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,20,29.2657
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,21,29.0512
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,22,28.8443
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,23,28.6366
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,24,28.4287
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,25,28.2189
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,26,28.0034
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,27,27.7719
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,28,27.5098
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,29,27.2058
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,30,26.6845
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,31,26.2553
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,32,25.8993
4,0.005,38,1250,1.0,0.0,3,3,5,3,10,106,33,25.6231
