batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,229.704
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,227.942
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,226.188
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,224.443
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,222.707
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,220.979
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,219.261
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,217.551
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,215.851
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,214.161
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,212.479
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,210.808
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,209.146
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,207.494
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,205.851
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,204.22
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,202.598
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,200.987
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,199.387
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,197.797
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,196.219
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,194.65
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,193.093
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,191.547
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,190.013
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,188.489
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,186.977
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,185.476
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,183.987
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,182.507
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,30,181.039
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,31,179.583
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,32,178.138
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,33,176.704
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,34,175.281
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,35,173.87
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,36,172.469
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,37,171.08
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,38,169.702
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,39,168.335
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,40,166.98
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,41,165.635
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,42,164.301
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,43,162.978
