batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,0,28.1478
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,1,27.0227
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,2,26.1452
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,3,25.3339
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,4,24.6102
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,5,24.0523
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,6,23.5677
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,7,23.0822
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,8,22.6747
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,9,22.2442
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,10,21.8003
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,11,21.0528
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,12,20.198
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,13,19.6907
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,14,18.8292
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,15,18.3232
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,16,17.7744
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,17,17.3972
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,18,17.2797
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,19,16.969
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,20,16.8813
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,21,16.4232
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,22,16.2389
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,23,16.0516
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,24,16.273
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,25,16.1913
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,26,15.9264
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,27,15.543
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,28,15.5702
4,0.005,140,1250,1.0,0.0,3,3,5,3,10,551,29,15.2888
