batches,learning rate,batch_size,per_batch,dropout,beta,k_conv,n_conv1,n_conv2,n_layer,n_lstm,n_steps,train step,cost
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,0,25.5042
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,1,25.4497
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,2,25.39
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,3,25.3511
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,4,25.3024
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,5,25.2527
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,6,25.2244
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,7,25.1635
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,8,25.1111
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,9,25.0524
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,10,24.9935
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,11,24.9282
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,12,24.8705
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,13,24.8021
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,14,24.7392
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,15,24.6659
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,16,24.5959
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,17,24.5293
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,18,24.4561
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,19,24.3723
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,20,24.3166
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,21,24.2734
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,22,24.1902
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,23,24.126
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,24,24.0515
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,25,23.9853
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,26,23.8801
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,27,23.819
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,28,23.749
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,29,23.6736
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,30,23.5963
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,31,23.5302
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,32,23.4719
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,33,23.3862
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,34,23.2994
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,35,23.2306
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,36,23.2043
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,37,23.1165
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,38,23.045
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,39,23.0523
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,40,22.9888
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,41,22.887
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,42,22.9174
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,43,22.7484
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,44,22.656
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,45,22.5511
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,46,22.5017
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,47,22.4609
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,48,22.3867
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,49,22.2982
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,50,22.3125
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,51,22.3009
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,52,22.3837
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,53,22.2168
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,54,22.1325
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,55,22.0613
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,56,22.0425
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,57,21.9769
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,58,21.9337
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,59,21.866
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,60,22.0077
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,61,21.9865
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,62,21.9431
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,63,21.8635
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,64,21.9135
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,65,21.7959
9,0.005,70,555,1.0,0.0,3,3,5,2,10,551,66,21.8704
